id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
001a3003-56b4-49f1-a95a-b3f41fd16bc2,5367328804d21516fbcd841575d33c05d027fd2ff084bd8a56792f3b0dd6259e,2025-10-15 21:39:50.665844+00,20251014133825_add_deposit_to_contract,,,2025-10-15 21:39:49.703741+00,1
26897beb-90fc-4f03-b2c8-1a5caf0940f9,32a0f6e31204eb638df4d17fe45e4cbb4f9c117f47875e53c1857219eda800f2,2025-10-15 22:00:18.843544+00,20251015214500_add_performance_indexes,,,2025-10-15 22:00:17.657071+00,1
37dee890-c4b2-4c7e-9e15-acd15e48485e,db14d79effc399c8ad370367095aeb29025bf226d39b21bb9c40f167b201ac44,2025-10-15 21:39:51.977104+00,20251014134749_add_activity_log_relations,,,2025-10-15 21:39:51.025491+00,1
41a370e9-91fc-4492-a225-a84db00ef85f,377c81fe582ab9a34da02a1d465e7dcbf802f4417efb72b5f9f25636b372504b,2025-10-15 21:39:46.6684+00,20251014021757_add_shop_model,,,2025-10-15 21:39:45.728249+00,1
471314c7-1d79-4d6f-b5da-8589e813094c,ecdfc9eb676b70237ddeef1f934fc288e90ce875f0618cf545a72acb7f045e0e,2025-10-16 18:27:53.844132+00,20251016030500_add_tenant_profile_fields,,,2025-10-16 18:27:52.49708+00,1
5834f57d-dcf0-4b2e-9f0d-1af9bb6115d0,3b756e6ff022d1ce695e14ec14199ade38134c11c56317c31970d9cf91d266e4,2025-10-15 21:39:53.252575+00,20251014222540_add_setting_model,,,2025-10-15 21:39:52.317606+00,1
5a5c79ac-1e79-48f6-beb6-bbb7bf7ad9e7,97b2ed68b54e5354894f856b38ecefba692111034a71cb31b2e0ef504a3ec5e0,2025-10-15 21:39:54.545049+00,20251014223736_add_password_reset,,,2025-10-15 21:39:53.625744+00,1
76208417-980b-47f4-b0a7-a640a74107d4,a443d795d531eb95284ed99154d47e3e16625f8959f4ec6fc85a528aa7f7b920,2025-10-15 21:39:45.371219+00,20251014020802_init_schema,,,2025-10-15 21:39:44.32705+00,1
8bb9e355-2c25-4332-bbe4-4eb717ce2ead,ed8079a4a05d3c9f30c1ef02e8865b79f381ba919a2fa6361e7cef7e15d65170,2025-10-16 19:15:58.976245+00,20251016034500_add_contract_details,,,2025-10-16 19:15:57.960366+00,1
ac7e6b46-ee3a-4f18-af60-813de5be3656,58c45d8a996425182737a45f6e770190658c3ff636683fecd01f3045fb0ef4fd,2025-10-15 21:39:55.84081+00,20251015003316_add_unit_fields,,,2025-10-15 21:39:54.918639+00,1
e519a394-266d-4021-8cb6-66385eff33bf,fe6756b01a12e39807815795b901578686e4828773d7e4d00f9d06621b0e9abf,2025-10-15 21:39:49.342078+00,20251014033921_add_tenant_name_to_contract,,,2025-10-15 21:39:48.389697+00,1
eef5646a-0e66-4250-a730-8abb6b17fdfb,e8c4a82d14e4bd0bdb6614caedb22cf6ded22556671cf998d25a7eb50055eee6,2025-10-15 21:39:47.987336+00,20251014023152_add_commercial_type,,,2025-10-15 21:39:47.025409+00,1